序号,列名,模态,窗口指标,窗口指标含义,统计量,统计量含义,单位,这一维在说什么
11,eeg_frontal_alpha_power_z_within_subject__median,脑电,eeg_frontal_alpha_power_z_within_subject,额区α 功率（8–13 Hz，放松、皮层抑制）,median,任务内中位数,z 分数,额区（前额，和注意、控制有关）的α 功率（8–13 Hz，放松、皮层抑制），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
12,eeg_frontal_alpha_power_z_within_subject__slope,脑电,eeg_frontal_alpha_power_z_within_subject,额区α 功率（8–13 Hz，放松、皮层抑制）,slope,任务过程走势,z 分数,额区（前额，和注意、控制有关）的α 功率（8–13 Hz，放松、皮层抑制），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
13,eeg_frontal_beta_power_z_within_subject__mean,脑电,eeg_frontal_beta_power_z_within_subject,额区β 功率（13–30 Hz，警觉、认知投入）,mean,任务内平均,z 分数,额区（前额，和注意、控制有关）的β 功率（13–30 Hz，警觉、认知投入），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
14,eeg_frontal_beta_power_z_within_subject__std,脑电,eeg_frontal_beta_power_z_within_subject,额区β 功率（13–30 Hz，警觉、认知投入）,std,任务内波动,z 分数,额区（前额，和注意、控制有关）的β 功率（13–30 Hz，警觉、认知投入），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
15,eeg_frontal_beta_power_z_within_subject__median,脑电,eeg_frontal_beta_power_z_within_subject,额区β 功率（13–30 Hz，警觉、认知投入）,median,任务内中位数,z 分数,额区（前额，和注意、控制有关）的β 功率（13–30 Hz，警觉、认知投入），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
16,eeg_frontal_beta_power_z_within_subject__slope,脑电,eeg_frontal_beta_power_z_within_subject,额区β 功率（13–30 Hz，警觉、认知投入）,slope,任务过程走势,z 分数,额区（前额，和注意、控制有关）的β 功率（13–30 Hz，警觉、认知投入），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
17,eeg_frontal_gamma_power_z_within_subject__mean,脑电,eeg_frontal_gamma_power_z_within_subject,额区γ 功率（30–45 Hz，更细的信息加工）,mean,任务内平均,z 分数,额区（前额，和注意、控制有关）的γ 功率（30–45 Hz，更细的信息加工），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
18,eeg_frontal_gamma_power_z_within_subject__std,脑电,eeg_frontal_gamma_power_z_within_subject,额区γ 功率（30–45 Hz，更细的信息加工）,std,任务内波动,z 分数,额区（前额，和注意、控制有关）的γ 功率（30–45 Hz，更细的信息加工），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
19,eeg_frontal_gamma_power_z_within_subject__median,脑电,eeg_frontal_gamma_power_z_within_subject,额区γ 功率（30–45 Hz，更细的信息加工）,median,任务内中位数,z 分数,额区（前额，和注意、控制有关）的γ 功率（30–45 Hz，更细的信息加工），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
20,eeg_frontal_gamma_power_z_within_subject__slope,脑电,eeg_frontal_gamma_power_z_within_subject,额区γ 功率（30–45 Hz，更细的信息加工）,slope,任务过程走势,z 分数,额区（前额，和注意、控制有关）的γ 功率（30–45 Hz，更细的信息加工），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
21,eeg_frontal_theta_alpha_z_within_subject__mean,脑电,eeg_frontal_theta_alpha_z_within_subject,额区θ/α 比值（负荷相关常用比值）,mean,任务内平均,z 分数（比值）,额区（前额，和注意、控制有关）的θ/α 比值（负荷相关常用比值），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
22,eeg_frontal_theta_alpha_z_within_subject__std,脑电,eeg_frontal_theta_alpha_z_within_subject,额区θ/α 比值（负荷相关常用比值）,std,任务内波动,z 分数（比值）,额区（前额，和注意、控制有关）的θ/α 比值（负荷相关常用比值），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
23,eeg_frontal_theta_alpha_z_within_subject__median,脑电,eeg_frontal_theta_alpha_z_within_subject,额区θ/α 比值（负荷相关常用比值）,median,任务内中位数,z 分数（比值）,额区（前额，和注意、控制有关）的θ/α 比值（负荷相关常用比值），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
24,eeg_frontal_theta_alpha_z_within_subject__slope,脑电,eeg_frontal_theta_alpha_z_within_subject,额区θ/α 比值（负荷相关常用比值）,slope,任务过程走势,z 分数（比值）,额区（前额，和注意、控制有关）的θ/α 比值（负荷相关常用比值），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
25,eeg_frontal_beta_alpha_z_within_subject__mean,脑电,eeg_frontal_beta_alpha_z_within_subject,额区β/α 比值（激活相对放松）,mean,任务内平均,z 分数（比值）,额区（前额，和注意、控制有关）的β/α 比值（激活相对放松），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
26,eeg_frontal_beta_alpha_z_within_subject__std,脑电,eeg_frontal_beta_alpha_z_within_subject,额区β/α 比值（激活相对放松）,std,任务内波动,z 分数（比值）,额区（前额，和注意、控制有关）的β/α 比值（激活相对放松），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
27,eeg_frontal_beta_alpha_z_within_subject__median,脑电,eeg_frontal_beta_alpha_z_within_subject,额区β/α 比值（激活相对放松）,median,任务内中位数,z 分数（比值）,额区（前额，和注意、控制有关）的β/α 比值（激活相对放松），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
28,eeg_frontal_beta_alpha_z_within_subject__slope,脑电,eeg_frontal_beta_alpha_z_within_subject,额区β/α 比值（激活相对放松）,slope,任务过程走势,z 分数（比值）,额区（前额，和注意、控制有关）的β/α 比值（激活相对放松），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
29,eeg_central_delta_power_z_within_subject__mean,脑电,eeg_central_delta_power_z_within_subject,中央区δ 功率（1–4 Hz，较慢）,mean,任务内平均,z 分数,中央区的δ 功率（1–4 Hz，较慢），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
30,eeg_central_delta_power_z_within_subject__std,脑电,eeg_central_delta_power_z_within_subject,中央区δ 功率（1–4 Hz，较慢）,std,任务内波动,z 分数,中央区的δ 功率（1–4 Hz，较慢），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
31,eeg_central_delta_power_z_within_subject__median,脑电,eeg_central_delta_power_z_within_subject,中央区δ 功率（1–4 Hz，较慢）,median,任务内中位数,z 分数,中央区的δ 功率（1–4 Hz，较慢），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
32,eeg_central_delta_power_z_within_subject__slope,脑电,eeg_central_delta_power_z_within_subject,中央区δ 功率（1–4 Hz，较慢）,slope,任务过程走势,z 分数,中央区的δ 功率（1–4 Hz，较慢），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
33,eeg_central_theta_power_z_within_subject__mean,脑电,eeg_central_theta_power_z_within_subject,中央区θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论）,mean,任务内平均,z 分数,中央区的θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
34,eeg_central_theta_power_z_within_subject__std,脑电,eeg_central_theta_power_z_within_subject,中央区θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论）,std,任务内波动,z 分数,中央区的θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
35,eeg_central_theta_power_z_within_subject__median,脑电,eeg_central_theta_power_z_within_subject,中央区θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论）,median,任务内中位数,z 分数,中央区的θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
36,eeg_central_theta_power_z_within_subject__slope,脑电,eeg_central_theta_power_z_within_subject,中央区θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论）,slope,任务过程走势,z 分数,中央区的θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
37,eeg_central_alpha_power_z_within_subject__mean,脑电,eeg_central_alpha_power_z_within_subject,中央区α 功率（8–13 Hz，放松、皮层抑制）,mean,任务内平均,z 分数,中央区的α 功率（8–13 Hz，放松、皮层抑制），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
38,eeg_central_alpha_power_z_within_subject__std,脑电,eeg_central_alpha_power_z_within_subject,中央区α 功率（8–13 Hz，放松、皮层抑制）,std,任务内波动,z 分数,中央区的α 功率（8–13 Hz，放松、皮层抑制），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
39,eeg_central_alpha_power_z_within_subject__median,脑电,eeg_central_alpha_power_z_within_subject,中央区α 功率（8–13 Hz，放松、皮层抑制）,median,任务内中位数,z 分数,中央区的α 功率（8–13 Hz，放松、皮层抑制），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
40,eeg_central_alpha_power_z_within_subject__slope,脑电,eeg_central_alpha_power_z_within_subject,中央区α 功率（8–13 Hz，放松、皮层抑制）,slope,任务过程走势,z 分数,中央区的α 功率（8–13 Hz，放松、皮层抑制），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
41,eeg_central_beta_power_z_within_subject__mean,脑电,eeg_central_beta_power_z_within_subject,中央区β 功率（13–30 Hz，警觉、认知投入）,mean,任务内平均,z 分数,中央区的β 功率（13–30 Hz，警觉、认知投入），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
42,eeg_central_beta_power_z_within_subject__std,脑电,eeg_central_beta_power_z_within_subject,中央区β 功率（13–30 Hz，警觉、认知投入）,std,任务内波动,z 分数,中央区的β 功率（13–30 Hz，警觉、认知投入），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
43,eeg_central_beta_power_z_within_subject__median,脑电,eeg_central_beta_power_z_within_subject,中央区β 功率（13–30 Hz，警觉、认知投入）,median,任务内中位数,z 分数,中央区的β 功率（13–30 Hz，警觉、认知投入），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
44,eeg_central_beta_power_z_within_subject__slope,脑电,eeg_central_beta_power_z_within_subject,中央区β 功率（13–30 Hz，警觉、认知投入）,slope,任务过程走势,z 分数,中央区的β 功率（13–30 Hz，警觉、认知投入），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
45,eeg_central_gamma_power_z_within_subject__mean,脑电,eeg_central_gamma_power_z_within_subject,中央区γ 功率（30–45 Hz，更细的信息加工）,mean,任务内平均,z 分数,中央区的γ 功率（30–45 Hz，更细的信息加工），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
46,eeg_central_gamma_power_z_within_subject__std,脑电,eeg_central_gamma_power_z_within_subject,中央区γ 功率（30–45 Hz，更细的信息加工）,std,任务内波动,z 分数,中央区的γ 功率（30–45 Hz，更细的信息加工），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
47,eeg_central_gamma_power_z_within_subject__median,脑电,eeg_central_gamma_power_z_within_subject,中央区γ 功率（30–45 Hz，更细的信息加工）,median,任务内中位数,z 分数,中央区的γ 功率（30–45 Hz，更细的信息加工），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
48,eeg_central_gamma_power_z_within_subject__slope,脑电,eeg_central_gamma_power_z_within_subject,中央区γ 功率（30–45 Hz，更细的信息加工）,slope,任务过程走势,z 分数,中央区的γ 功率（30–45 Hz，更细的信息加工），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
49,eeg_central_theta_alpha_z_within_subject__mean,脑电,eeg_central_theta_alpha_z_within_subject,中央区θ/α 比值（负荷相关常用比值）,mean,任务内平均,z 分数（比值）,中央区的θ/α 比值（负荷相关常用比值），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
50,eeg_central_theta_alpha_z_within_subject__std,脑电,eeg_central_theta_alpha_z_within_subject,中央区θ/α 比值（负荷相关常用比值）,std,任务内波动,z 分数（比值）,中央区的θ/α 比值（负荷相关常用比值），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
51,eeg_central_theta_alpha_z_within_subject__median,脑电,eeg_central_theta_alpha_z_within_subject,中央区θ/α 比值（负荷相关常用比值）,median,任务内中位数,z 分数（比值）,中央区的θ/α 比值（负荷相关常用比值），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
52,eeg_central_theta_alpha_z_within_subject__slope,脑电,eeg_central_theta_alpha_z_within_subject,中央区θ/α 比值（负荷相关常用比值）,slope,任务过程走势,z 分数（比值）,中央区的θ/α 比值（负荷相关常用比值），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
53,eeg_central_beta_alpha_z_within_subject__mean,脑电,eeg_central_beta_alpha_z_within_subject,中央区β/α 比值（激活相对放松）,mean,任务内平均,z 分数（比值）,中央区的β/α 比值（激活相对放松），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
54,eeg_central_beta_alpha_z_within_subject__std,脑电,eeg_central_beta_alpha_z_within_subject,中央区β/α 比值（激活相对放松）,std,任务内波动,z 分数（比值）,中央区的β/α 比值（激活相对放松），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
55,eeg_central_beta_alpha_z_within_subject__median,脑电,eeg_central_beta_alpha_z_within_subject,中央区β/α 比值（激活相对放松）,median,任务内中位数,z 分数（比值）,中央区的β/α 比值（激活相对放松），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
56,eeg_central_beta_alpha_z_within_subject__slope,脑电,eeg_central_beta_alpha_z_within_subject,中央区β/α 比值（激活相对放松）,slope,任务过程走势,z 分数（比值）,中央区的β/α 比值（激活相对放松），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
57,eeg_parietal_delta_power_z_within_subject__mean,脑电,eeg_parietal_delta_power_z_within_subject,顶区δ 功率（1–4 Hz，较慢）,mean,任务内平均,z 分数,顶区（和空间注意、加工有关）的δ 功率（1–4 Hz，较慢），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
58,eeg_parietal_delta_power_z_within_subject__std,脑电,eeg_parietal_delta_power_z_within_subject,顶区δ 功率（1–4 Hz，较慢）,std,任务内波动,z 分数,顶区（和空间注意、加工有关）的δ 功率（1–4 Hz，较慢），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
59,eeg_parietal_delta_power_z_within_subject__median,脑电,eeg_parietal_delta_power_z_within_subject,顶区δ 功率（1–4 Hz，较慢）,median,任务内中位数,z 分数,顶区（和空间注意、加工有关）的δ 功率（1–4 Hz，较慢），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
60,eeg_parietal_delta_power_z_within_subject__slope,脑电,eeg_parietal_delta_power_z_within_subject,顶区δ 功率（1–4 Hz，较慢）,slope,任务过程走势,z 分数,顶区（和空间注意、加工有关）的δ 功率（1–4 Hz，较慢），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
61,eeg_parietal_theta_power_z_within_subject__mean,脑电,eeg_parietal_theta_power_z_within_subject,顶区θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论）,mean,任务内平均,z 分数,顶区（和空间注意、加工有关）的θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
62,eeg_parietal_theta_power_z_within_subject__std,脑电,eeg_parietal_theta_power_z_within_subject,顶区θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论）,std,任务内波动,z 分数,顶区（和空间注意、加工有关）的θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
63,eeg_parietal_theta_power_z_within_subject__median,脑电,eeg_parietal_theta_power_z_within_subject,顶区θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论）,median,任务内中位数,z 分数,顶区（和空间注意、加工有关）的θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
64,eeg_parietal_theta_power_z_within_subject__slope,脑电,eeg_parietal_theta_power_z_within_subject,顶区θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论）,slope,任务过程走势,z 分数,顶区（和空间注意、加工有关）的θ 功率（4–8 Hz，和工作记忆/困倦常一起讨论），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
65,eeg_parietal_alpha_power_z_within_subject__mean,脑电,eeg_parietal_alpha_power_z_within_subject,顶区α 功率（8–13 Hz，放松、皮层抑制）,mean,任务内平均,z 分数,顶区（和空间注意、加工有关）的α 功率（8–13 Hz，放松、皮层抑制），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
66,eeg_parietal_alpha_power_z_within_subject__std,脑电,eeg_parietal_alpha_power_z_within_subject,顶区α 功率（8–13 Hz，放松、皮层抑制）,std,任务内波动,z 分数,顶区（和空间注意、加工有关）的α 功率（8–13 Hz，放松、皮层抑制），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
67,eeg_parietal_alpha_power_z_within_subject__median,脑电,eeg_parietal_alpha_power_z_within_subject,顶区α 功率（8–13 Hz，放松、皮层抑制）,median,任务内中位数,z 分数,顶区（和空间注意、加工有关）的α 功率（8–13 Hz，放松、皮层抑制），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
68,eeg_parietal_alpha_power_z_within_subject__slope,脑电,eeg_parietal_alpha_power_z_within_subject,顶区α 功率（8–13 Hz，放松、皮层抑制）,slope,任务过程走势,z 分数,顶区（和空间注意、加工有关）的α 功率（8–13 Hz，放松、皮层抑制），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
69,eeg_parietal_beta_power_z_within_subject__mean,脑电,eeg_parietal_beta_power_z_within_subject,顶区β 功率（13–30 Hz，警觉、认知投入）,mean,任务内平均,z 分数,顶区（和空间注意、加工有关）的β 功率（13–30 Hz，警觉、认知投入），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
70,eeg_parietal_beta_power_z_within_subject__std,脑电,eeg_parietal_beta_power_z_within_subject,顶区β 功率（13–30 Hz，警觉、认知投入）,std,任务内波动,z 分数,顶区（和空间注意、加工有关）的β 功率（13–30 Hz，警觉、认知投入），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
71,eeg_parietal_beta_power_z_within_subject__median,脑电,eeg_parietal_beta_power_z_within_subject,顶区β 功率（13–30 Hz，警觉、认知投入）,median,任务内中位数,z 分数,顶区（和空间注意、加工有关）的β 功率（13–30 Hz，警觉、认知投入），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
72,eeg_parietal_beta_power_z_within_subject__slope,脑电,eeg_parietal_beta_power_z_within_subject,顶区β 功率（13–30 Hz，警觉、认知投入）,slope,任务过程走势,z 分数,顶区（和空间注意、加工有关）的β 功率（13–30 Hz，警觉、认知投入），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
73,eeg_parietal_gamma_power_z_within_subject__mean,脑电,eeg_parietal_gamma_power_z_within_subject,顶区γ 功率（30–45 Hz，更细的信息加工）,mean,任务内平均,z 分数,顶区（和空间注意、加工有关）的γ 功率（30–45 Hz，更细的信息加工），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
74,eeg_parietal_gamma_power_z_within_subject__std,脑电,eeg_parietal_gamma_power_z_within_subject,顶区γ 功率（30–45 Hz，更细的信息加工）,std,任务内波动,z 分数,顶区（和空间注意、加工有关）的γ 功率（30–45 Hz，更细的信息加工），已按这个人自己的水平做过标准化。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
